Apr 11 04:02:20.010 INFO SONY_PS2: dats/SONY_PS2/Sony - PlayStation 2 - BIOS Datfile (107) (2019-11-25).dat, path: dats/SONY_PS2/Sony - PlayStation 2 - BIOS Datfile (107) (2019-11-25).dat, platform_id: SONY_PS2
Apr 11 04:02:20.160 INFO SONY_PS2: dats/SONY_PS2/Sony - PlayStation 2 - Datfile (10257) (2021-04-11 03-21-10).dat, path: dats/SONY_PS2/Sony - PlayStation 2 - Datfile (10257) (2021-04-11 03-21-10).dat, platform_id: SONY_PS2
Apr 11 04:02:20.602 INFO SONY_PS2: dats/SONY_PS2/Sony PlayStation 2 - Firmware (TOSEC-v2012-09-08_CM).dat, path: dats/SONY_PS2/Sony PlayStation 2 - Firmware (TOSEC-v2012-09-08_CM).dat, platform_id: SONY_PS2
Apr 11 04:02:20.625 INFO NINTENDO_BS: dats/NINTENDO_BS/OpenSNES.BS.dat, path: dats/NINTENDO_BS/OpenSNES.BS.dat, platform_id: NINTENDO_BS
Apr 11 04:02:20.647 INFO NINTENDO_BS: dats/NINTENDO_BS/Nintendo - Satellaview (20201226-093906).dat, path: dats/NINTENDO_BS/Nintendo - Satellaview (20201226-093906).dat, platform_id: NINTENDO_BS
Apr 11 04:02:20.655 INFO SONY_PSX: dats/SONY_PSX/Sony PlayStation - Demos - [BIN] (TOSEC-v2012-09-08_CM).dat, path: dats/SONY_PSX/Sony PlayStation - Demos - [BIN] (TOSEC-v2012-09-08_CM).dat, platform_id: SONY_PSX
Apr 11 04:02:20.656 INFO SONY_PSX: dats/SONY_PSX/Sony PlayStation - Demos - [EXE] (TOSEC-v2012-09-08_CM).dat, path: dats/SONY_PSX/Sony PlayStation - Demos - [EXE] (TOSEC-v2012-09-08_CM).dat, platform_id: SONY_PSX
Apr 11 04:02:20.657 INFO SONY_PSX: dats/SONY_PSX/Sony PlayStation - Games - [ISO] (TOSEC-v2012-09-08_CM).dat, path: dats/SONY_PSX/Sony PlayStation - Games - [ISO] (TOSEC-v2012-09-08_CM).dat, platform_id: SONY_PSX
Apr 11 04:02:20.657 INFO SONY_PSX: dats/SONY_PSX/Sony PlayStation - Demos - [PSX] (TOSEC-v2012-09-08_CM).dat, path: dats/SONY_PSX/Sony PlayStation - Demos - [PSX] (TOSEC-v2012-09-08_CM).dat, platform_id: SONY_PSX
Apr 11 04:02:20.657 INFO SONY_PSX: dats/SONY_PSX/Sony PlayStation - Games - [IMG] (TOSEC-v2012-09-08_CM).dat, path: dats/SONY_PSX/Sony PlayStation - Games - [IMG] (TOSEC-v2012-09-08_CM).dat, platform_id: SONY_PSX
Apr 11 04:02:20.999 INFO SONY_PSX: dats/SONY_PSX/Sony - PlayStation - Datfile (10536) (2021-04-10 20-33-55).dat, path: dats/SONY_PSX/Sony - PlayStation - Datfile (10536) (2021-04-10 20-33-55).dat, platform_id: SONY_PSX
