Aug 30 00:16:39.553 INFO SEGA_SG1000: dats/SEGA_SG1000/Sega Game 1000 - Demos (TOSEC-v2011-08-13_CM).dat, path: dats/SEGA_SG1000/Sega Game 1000 - Demos (TOSEC-v2011-08-13_CM).dat, platform_id: SEGA_SG1000
Aug 30 00:16:39.553 INFO SEGA_SG1000: dats/SEGA_SG1000/Sega Game 1000 - Applications (TOSEC-v2011-12-19_CM).dat, path: dats/SEGA_SG1000/Sega Game 1000 - Applications (TOSEC-v2011-12-19_CM).dat, platform_id: SEGA_SG1000
Aug 30 00:16:39.556 INFO SEGA_SG1000: dats/SEGA_SG1000/Sega - SG-1000 (20200217-185318).dat, path: dats/SEGA_SG1000/Sega - SG-1000 (20200217-185318).dat, platform_id: SEGA_SG1000
Aug 30 00:16:39.569 INFO SEGA_SG1000: dats/SEGA_SG1000/Sega Game 1000 - Games (TOSEC-v2017-09-03_CM).dat, path: dats/SEGA_SG1000/Sega Game 1000 - Games (TOSEC-v2017-09-03_CM).dat, platform_id: SEGA_SG1000
Aug 30 00:16:39.583 INFO NINTENDO_3DS: dats/NINTENDO_3DS/Nintendo - Nintendo 3DS (Digital) (20200726-085508).dat, path: dats/NINTENDO_3DS/Nintendo - Nintendo 3DS (Digital) (20200726-085508).dat, platform_id: NINTENDO_3DS
Aug 30 00:16:39.636 INFO NINTENDO_3DS: dats/NINTENDO_3DS/Nintendo - Nintendo 3DS (Digital) (Updates and DLC) (Encrypted) (20200728-070505).dat, path: dats/NINTENDO_3DS/Nintendo - Nintendo 3DS (Digital) (Updates and DLC) (Encrypted) (20200728-070505).dat, platform_id: NINTENDO_3DS
Aug 30 00:16:39.703 INFO NINTENDO_3DS: dats/NINTENDO_3DS/Nintendo - Nintendo 3DS (Decrypted) (20200824-054109).dat, path: dats/NINTENDO_3DS/Nintendo - Nintendo 3DS (Decrypted) (20200824-054109).dat, platform_id: NINTENDO_3DS
Aug 30 00:16:39.786 INFO NINTENDO_3DS: dats/NINTENDO_3DS/Nintendo - Nintendo 3DS (Encrypted) (20200824-054109).dat, path: dats/NINTENDO_3DS/Nintendo - Nintendo 3DS (Encrypted) (20200824-054109).dat, platform_id: NINTENDO_3DS
Aug 30 00:16:39.862 INFO NINTENDO_3DS: dats/NINTENDO_3DS/Nintendo - Nintendo 3DS (Digital) (Updates and DLC) (Decrypted) (20200728-070505).dat, path: dats/NINTENDO_3DS/Nintendo - Nintendo 3DS (Digital) (Updates and DLC) (Decrypted) (20200728-070505).dat, platform_id: NINTENDO_3DS
Aug 30 00:16:39.863 INFO NINTENDO_3DS: dats/NINTENDO_3DS/Nintendo - Nintendo 3DS (Digital) (CDN) (CIA) (20200706-035548).dat, path: dats/NINTENDO_3DS/Nintendo - Nintendo 3DS (Digital) (CDN) (CIA) (20200706-035548).dat, platform_id: NINTENDO_3DS
Aug 30 00:16:39.864 INFO SONY_PSX: dats/SONY_PSX/Sony PlayStation - Games - [ISO] (TOSEC-v2012-09-08_CM).dat, path: dats/SONY_PSX/Sony PlayStation - Games - [ISO] (TOSEC-v2012-09-08_CM).dat, platform_id: SONY_PSX
Aug 30 00:16:39.864 INFO SONY_PSX: dats/SONY_PSX/Sony PlayStation - Games - [EXE] (TOSEC-v2012-09-08_CM).dat, path: dats/SONY_PSX/Sony PlayStation - Games - [EXE] (TOSEC-v2012-09-08_CM).dat, platform_id: SONY_PSX
Aug 30 00:16:39.865 INFO SONY_PSX: dats/SONY_PSX/Sony PlayStation - Demos - [EXE] (TOSEC-v2012-09-08_CM).dat, path: dats/SONY_PSX/Sony PlayStation - Demos - [EXE] (TOSEC-v2012-09-08_CM).dat, platform_id: SONY_PSX
Aug 30 00:16:39.866 INFO SONY_PSX: dats/SONY_PSX/Sony PlayStation - Games - [IMG] (TOSEC-v2012-09-08_CM).dat, path: dats/SONY_PSX/Sony PlayStation - Games - [IMG] (TOSEC-v2012-09-08_CM).dat, platform_id: SONY_PSX
Aug 30 00:16:39.867 INFO SONY_PSX: dats/SONY_PSX/Sony PlayStation - Demos - [ISO] (TOSEC-v2012-09-08_CM).dat, path: dats/SONY_PSX/Sony PlayStation - Demos - [ISO] (TOSEC-v2012-09-08_CM).dat, platform_id: SONY_PSX
Aug 30 00:16:39.867 INFO SONY_PSX: dats/SONY_PSX/Sony PlayStation - Games - [BIN] (TOSEC-v2012-09-08_CM).dat, path: dats/SONY_PSX/Sony PlayStation - Games - [BIN] (TOSEC-v2012-09-08_CM).dat, platform_id: SONY_PSX
Aug 30 00:16:39.869 INFO SONY_PSX: dats/SONY_PSX/Sony PlayStation - Demos - [BIN] (TOSEC-v2012-09-08_CM).dat, path: dats/SONY_PSX/Sony PlayStation - Demos - [BIN] (TOSEC-v2012-09-08_CM).dat, platform_id: SONY_PSX
Aug 30 00:16:39.870 INFO SONY_PSX: dats/SONY_PSX/Sony PlayStation - Applications (TOSEC-v2014-10-30_CM).dat, path: dats/SONY_PSX/Sony PlayStation - Applications (TOSEC-v2014-10-30_CM).dat, platform_id: SONY_PSX
