Aug 09 00:07:52.461 INFO SEGA_SG1000: dats/SEGA_SG1000/Sega Game 1000 - Demos (TOSEC-v2011-08-13_CM).dat, path: dats/SEGA_SG1000/Sega Game 1000 - Demos (TOSEC-v2011-08-13_CM).dat, platform_id: SEGA_SG1000
Aug 09 00:07:52.461 INFO SEGA_SG1000: dats/SEGA_SG1000/Sega Game 1000 - Applications (TOSEC-v2011-12-19_CM).dat, path: dats/SEGA_SG1000/Sega Game 1000 - Applications (TOSEC-v2011-12-19_CM).dat, platform_id: SEGA_SG1000
Aug 09 00:07:52.464 INFO SEGA_SG1000: dats/SEGA_SG1000/Sega - SG-1000 (20200217-185318).dat, path: dats/SEGA_SG1000/Sega - SG-1000 (20200217-185318).dat, platform_id: SEGA_SG1000
Aug 09 00:07:52.480 INFO SEGA_SG1000: dats/SEGA_SG1000/Sega Game 1000 - Games (TOSEC-v2017-09-03_CM).dat, path: dats/SEGA_SG1000/Sega Game 1000 - Games (TOSEC-v2017-09-03_CM).dat, platform_id: SEGA_SG1000
Aug 09 00:07:52.502 INFO NINTENDO_3DS: dats/NINTENDO_3DS/Nintendo - Nintendo 3DS (Decrypted) (20200728-124846).dat, path: dats/NINTENDO_3DS/Nintendo - Nintendo 3DS (Decrypted) (20200728-124846).dat, platform_id: NINTENDO_3DS
Aug 09 00:07:52.601 INFO NINTENDO_3DS: dats/NINTENDO_3DS/Nintendo - Nintendo 3DS (Digital) (20200726-085508).dat, path: dats/NINTENDO_3DS/Nintendo - Nintendo 3DS (Digital) (20200726-085508).dat, platform_id: NINTENDO_3DS
Aug 09 00:07:52.660 INFO NINTENDO_3DS: dats/NINTENDO_3DS/Nintendo - Nintendo 3DS (Digital) (Updates and DLC) (Encrypted) (20200728-070505).dat, path: dats/NINTENDO_3DS/Nintendo - Nintendo 3DS (Digital) (Updates and DLC) (Encrypted) (20200728-070505).dat, platform_id: NINTENDO_3DS
Aug 09 00:07:52.739 INFO NINTENDO_3DS: dats/NINTENDO_3DS/Nintendo - Nintendo 3DS (Digital) (Updates and DLC) (Decrypted) (20200728-070505).dat, path: dats/NINTENDO_3DS/Nintendo - Nintendo 3DS (Digital) (Updates and DLC) (Decrypted) (20200728-070505).dat, platform_id: NINTENDO_3DS
Aug 09 00:07:52.743 INFO NINTENDO_3DS: dats/NINTENDO_3DS/Nintendo - Nintendo 3DS (Digital) (CDN) (CIA) (20200706-035548).dat, path: dats/NINTENDO_3DS/Nintendo - Nintendo 3DS (Digital) (CDN) (CIA) (20200706-035548).dat, platform_id: NINTENDO_3DS
Aug 09 00:07:52.760 INFO NINTENDO_3DS: dats/NINTENDO_3DS/Nintendo - Nintendo 3DS (Encrypted) (20200728-124846).dat, path: dats/NINTENDO_3DS/Nintendo - Nintendo 3DS (Encrypted) (20200728-124846).dat, platform_id: NINTENDO_3DS
Aug 09 00:07:52.844 INFO SONY_PSX: dats/SONY_PSX/Sony PlayStation - Games - [ISO] (TOSEC-v2012-09-08_CM).dat, path: dats/SONY_PSX/Sony PlayStation - Games - [ISO] (TOSEC-v2012-09-08_CM).dat, platform_id: SONY_PSX
Aug 09 00:07:53.287 INFO SONY_PSX: dats/SONY_PSX/Sony - PlayStation - Datfile (10366) (2020-08-09 01-18-45).dat, path: dats/SONY_PSX/Sony - PlayStation - Datfile (10366) (2020-08-09 01-18-45).dat, platform_id: SONY_PSX
Aug 09 00:07:54.295 INFO SONY_PSX: dats/SONY_PSX/Sony PlayStation - Games - [EXE] (TOSEC-v2012-09-08_CM).dat, path: dats/SONY_PSX/Sony PlayStation - Games - [EXE] (TOSEC-v2012-09-08_CM).dat, platform_id: SONY_PSX
Aug 09 00:07:54.296 INFO SONY_PSX: dats/SONY_PSX/Sony PlayStation - Demos - [EXE] (TOSEC-v2012-09-08_CM).dat, path: dats/SONY_PSX/Sony PlayStation - Demos - [EXE] (TOSEC-v2012-09-08_CM).dat, platform_id: SONY_PSX
Aug 09 00:07:54.297 INFO SONY_PSX: dats/SONY_PSX/Sony PlayStation - Games - [IMG] (TOSEC-v2012-09-08_CM).dat, path: dats/SONY_PSX/Sony PlayStation - Games - [IMG] (TOSEC-v2012-09-08_CM).dat, platform_id: SONY_PSX
Aug 09 00:07:54.298 INFO SONY_PSX: dats/SONY_PSX/Sony PlayStation - Demos - [ISO] (TOSEC-v2012-09-08_CM).dat, path: dats/SONY_PSX/Sony PlayStation - Demos - [ISO] (TOSEC-v2012-09-08_CM).dat, platform_id: SONY_PSX
