Apr 18 00:17:47.021 INFO SONY_PS2: dats/SONY_PS2/Sony - PlayStation 2 - BIOS Datfile (107) (2019-11-25).dat, path: dats/SONY_PS2/Sony - PlayStation 2 - BIOS Datfile (107) (2019-11-25).dat, platform_id: SONY_PS2
Apr 18 00:17:47.193 INFO SONY_PS2: dats/SONY_PS2/Sony - PlayStation 2 - Datfile (10260) (2021-04-17 20-17-34).dat, path: dats/SONY_PS2/Sony - PlayStation 2 - Datfile (10260) (2021-04-17 20-17-34).dat, platform_id: SONY_PS2
Apr 18 00:17:47.607 INFO SONY_PS2: dats/SONY_PS2/Sony PlayStation 2 - Firmware (TOSEC-v2012-09-08_CM).dat, path: dats/SONY_PS2/Sony PlayStation 2 - Firmware (TOSEC-v2012-09-08_CM).dat, platform_id: SONY_PS2
Apr 18 00:17:47.636 INFO NINTENDO_BS: dats/NINTENDO_BS/OpenSNES.BS.dat, path: dats/NINTENDO_BS/OpenSNES.BS.dat, platform_id: NINTENDO_BS
Apr 18 00:17:47.658 INFO NINTENDO_BS: dats/NINTENDO_BS/Nintendo - Satellaview (20201226-093906).dat, path: dats/NINTENDO_BS/Nintendo - Satellaview (20201226-093906).dat, platform_id: NINTENDO_BS
Apr 18 00:17:47.666 INFO SONY_PSX: dats/SONY_PSX/Sony PlayStation - Demos - [BIN] (TOSEC-v2012-09-08_CM).dat, path: dats/SONY_PSX/Sony PlayStation - Demos - [BIN] (TOSEC-v2012-09-08_CM).dat, platform_id: SONY_PSX
Apr 18 00:17:47.667 INFO SONY_PSX: dats/SONY_PSX/Sony PlayStation - Demos - [EXE] (TOSEC-v2012-09-08_CM).dat, path: dats/SONY_PSX/Sony PlayStation - Demos - [EXE] (TOSEC-v2012-09-08_CM).dat, platform_id: SONY_PSX
Apr 18 00:17:47.668 INFO SONY_PSX: dats/SONY_PSX/Sony PlayStation - Games - [ISO] (TOSEC-v2012-09-08_CM).dat, path: dats/SONY_PSX/Sony PlayStation - Games - [ISO] (TOSEC-v2012-09-08_CM).dat, platform_id: SONY_PSX
Apr 18 00:17:47.668 INFO SONY_PSX: dats/SONY_PSX/Sony PlayStation - Demos - [PSX] (TOSEC-v2012-09-08_CM).dat, path: dats/SONY_PSX/Sony PlayStation - Demos - [PSX] (TOSEC-v2012-09-08_CM).dat, platform_id: SONY_PSX
Apr 18 00:17:48.058 INFO SONY_PSX: dats/SONY_PSX/Sony - PlayStation - Datfile (10539) (2021-04-16 02-54-18).dat, path: dats/SONY_PSX/Sony - PlayStation - Datfile (10539) (2021-04-16 02-54-18).dat, platform_id: SONY_PSX
Apr 18 00:17:48.843 INFO SONY_PSX: dats/SONY_PSX/Sony PlayStation - Games - [IMG] (TOSEC-v2012-09-08_CM).dat, path: dats/SONY_PSX/Sony PlayStation - Games - [IMG] (TOSEC-v2012-09-08_CM).dat, platform_id: SONY_PSX
Apr 18 00:17:48.843 INFO SONY_PSX: dats/SONY_PSX/Sony PlayStation - Samplers - [BIN] (TOSEC-v2012-09-08_CM).dat, path: dats/SONY_PSX/Sony PlayStation - Samplers - [BIN] (TOSEC-v2012-09-08_CM).dat, platform_id: SONY_PSX
Apr 18 00:17:48.843 INFO SONY_PSX: dats/SONY_PSX/Sony PlayStation - Games - [EXE] (TOSEC-v2012-09-08_CM).dat, path: dats/SONY_PSX/Sony PlayStation - Games - [EXE] (TOSEC-v2012-09-08_CM).dat, platform_id: SONY_PSX
Apr 18 00:17:48.844 INFO SONY_PSX: dats/SONY_PSX/Sony - PlayStation - BIOS Datfile (24) (2016-10-21).dat, path: dats/SONY_PSX/Sony - PlayStation - BIOS Datfile (24) (2016-10-21).dat, platform_id: SONY_PSX
Apr 18 00:17:48.845 INFO SONY_PSX: dats/SONY_PSX/Sony PlayStation - Samplers - [ISO] (TOSEC-v2012-09-08_CM).dat, path: dats/SONY_PSX/Sony PlayStation - Samplers - [ISO] (TOSEC-v2012-09-08_CM).dat, platform_id: SONY_PSX
Apr 18 00:17:48.845 INFO SONY_PSX: dats/SONY_PSX/Sony PlayStation - Games - [BIN] (TOSEC-v2012-09-08_CM).dat, path: dats/SONY_PSX/Sony PlayStation - Games - [BIN] (TOSEC-v2012-09-08_CM).dat, platform_id: SONY_PSX
Apr 18 00:17:48.846 INFO SONY_PSX: dats/SONY_PSX/Sony PlayStation - Firmware (TOSEC-v2012-09-08_CM).dat, path: dats/SONY_PSX/Sony PlayStation - Firmware (TOSEC-v2012-09-08_CM).dat, platform_id: SONY_PSX
Apr 18 00:17:48.847 INFO SONY_PSX: dats/SONY_PSX/Sony PlayStation - Demos - [ISO] (TOSEC-v2012-09-08_CM).dat, path: dats/SONY_PSX/Sony PlayStation - Demos - [ISO] (TOSEC-v2012-09-08_CM).dat, platform_id: SONY_PSX
Apr 18 00:17:48.847 INFO SONY_PSX: dats/SONY_PSX/Sony PlayStation - Applications (TOSEC-v2014-10-30_CM).dat, path: dats/SONY_PSX/Sony PlayStation - Applications (TOSEC-v2014-10-30_CM).dat, platform_id: SONY_PSX
Apr 18 00:17:48.847 INFO NINTENDO_SFT: dats/NINTENDO_SFT/Nintendo - Sufami Turbo (20201218-081558).dat, path: dats/NINTENDO_SFT/Nintendo - Sufami Turbo (20201218-081558).dat, platform_id: NINTENDO_SFT
Apr 18 00:17:48.850 INFO NINTENDO_SFT: dats/NINTENDO_SFT/OpenSNES.ST.dat, path: dats/NINTENDO_SFT/OpenSNES.ST.dat, platform_id: NINTENDO_SFT
Apr 18 00:17:48.904 INFO NINTENDO_NDS: dats/NINTENDO_NDS/Nintendo - Nintendo DS (Encrypted) (20210416-102201).dat, path: dats/NINTENDO_NDS/Nintendo - Nintendo DS (Encrypted) (20210416-102201).dat, platform_id: NINTENDO_NDS
Apr 18 00:17:49.138 INFO NINTENDO_NDS: dats/NINTENDO_NDS/Nintendo - Nintendo DS (Download Play) (20210104-083358).dat, path: dats/NINTENDO_NDS/Nintendo - Nintendo DS (Download Play) (20210104-083358).dat, platform_id: NINTENDO_NDS
Apr 18 00:17:49.206 INFO NINTENDO_NDS: dats/NINTENDO_NDS/Nintendo - Nintendo DS (Decrypted) (20210416-220027).dat, path: dats/NINTENDO_NDS/Nintendo - Nintendo DS (Decrypted) (20210416-220027).dat, platform_id: NINTENDO_NDS
Apr 18 00:17:49.427 INFO PANASONIC_3DO: dats/PANASONIC_3DO/3DO 3DO Interactive Multiplayer - Coverdiscs - [IMG] (TOSEC-v2017-09-17_CM).dat, path: dats/PANASONIC_3DO/3DO 3DO Interactive Multiplayer - Coverdiscs - [IMG] (TOSEC-v2017-09-17_CM).dat, platform_id: PANASONIC_3DO
Apr 18 00:17:49.439 INFO PANASONIC_3DO: dats/PANASONIC_3DO/3DO 3DO Interactive Multiplayer - Games (TOSEC-v2020-10-26_CM).dat, path: dats/PANASONIC_3DO/3DO 3DO Interactive Multiplayer - Games (TOSEC-v2020-10-26_CM).dat, platform_id: PANASONIC_3DO
Apr 18 00:17:49.455 INFO PANASONIC_3DO: dats/PANASONIC_3DO/3DO 3DO Interactive Multiplayer - Homebrew - Applications (TOSEC-v2017-09-15_CM).dat, path: dats/PANASONIC_3DO/3DO 3DO Interactive Multiplayer - Homebrew - Applications (TOSEC-v2017-09-15_CM).dat, platform_id: PANASONIC_3DO
Apr 18 00:17:49.455 INFO PANASONIC_3DO: dats/PANASONIC_3DO/3DO 3DO Interactive Multiplayer - Coverdiscs - [ISO] (TOSEC-v2012-07-05_CM).dat, path: dats/PANASONIC_3DO/3DO 3DO Interactive Multiplayer - Coverdiscs - [ISO] (TOSEC-v2012-07-05_CM).dat, platform_id: PANASONIC_3DO
Apr 18 00:17:49.456 INFO PANASONIC_3DO: dats/PANASONIC_3DO/3DO 3DO Interactive Multiplayer - Homebrew - Games (TOSEC-v2017-09-25_CM).dat, path: dats/PANASONIC_3DO/3DO 3DO Interactive Multiplayer - Homebrew - Games (TOSEC-v2017-09-25_CM).dat, platform_id: PANASONIC_3DO
Apr 18 00:17:49.466 INFO PANASONIC_3DO: dats/PANASONIC_3DO/Panasonic - 3DO Interactive Multiplayer - Datfile (543) (2021-04-16 21-33-03).dat, path: dats/PANASONIC_3DO/Panasonic - 3DO Interactive Multiplayer - Datfile (543) (2021-04-16 21-33-03).dat, platform_id: PANASONIC_3DO
Apr 18 00:17:49.486 INFO PANASONIC_3DO: dats/PANASONIC_3DO/3DO 3DO Interactive Multiplayer - Homebrew - Compilations (TOSEC-v2017-09-25_CM).dat, path: dats/PANASONIC_3DO/3DO 3DO Interactive Multiplayer - Homebrew - Compilations (TOSEC-v2017-09-25_CM).dat, platform_id: PANASONIC_3DO
Apr 18 00:17:49.487 INFO PANASONIC_3DO: dats/PANASONIC_3DO/3DO 3DO Interactive Multiplayer - Applications - [IMG] (TOSEC-v2017-09-15_CM).dat, path: dats/PANASONIC_3DO/3DO 3DO Interactive Multiplayer - Applications - [IMG] (TOSEC-v2017-09-15_CM).dat, platform_id: PANASONIC_3DO
Apr 18 00:17:49.487 INFO PANASONIC_3DO: dats/PANASONIC_3DO/3DO 3DO Interactive Multiplayer - Firmware (TOSEC-v2017-07-07_CM).dat, path: dats/PANASONIC_3DO/3DO 3DO Interactive Multiplayer - Firmware (TOSEC-v2017-07-07_CM).dat, platform_id: PANASONIC_3DO
Apr 18 00:17:49.488 INFO PANASONIC_3DO: dats/PANASONIC_3DO/3DO 3DO Interactive Multiplayer - Applications - [ISO] (TOSEC-v2012-07-05_CM).dat, path: dats/PANASONIC_3DO/3DO 3DO Interactive Multiplayer - Applications - [ISO] (TOSEC-v2012-07-05_CM).dat, platform_id: PANASONIC_3DO
Apr 18 00:17:49.489 INFO PANASONIC_3DO: dats/PANASONIC_3DO/3DO 3DO Interactive Multiplayer - Educational (TOSEC-v2012-07-05_CM).dat, path: dats/PANASONIC_3DO/3DO 3DO Interactive Multiplayer - Educational (TOSEC-v2012-07-05_CM).dat, platform_id: PANASONIC_3DO
Apr 18 00:17:49.490 INFO PANASONIC_3DO: dats/PANASONIC_3DO/3DO 3DO Interactive Multiplayer - Homebrew - Demos (TOSEC-v2020-07-14_CM).dat, path: dats/PANASONIC_3DO/3DO 3DO Interactive Multiplayer - Homebrew - Demos (TOSEC-v2020-07-14_CM).dat, platform_id: PANASONIC_3DO
Apr 18 00:17:49.507 INFO PHILIPS_CDI: dats/PHILIPS_CDI/Philips - CD-i - Datfile (845) (2021-04-17 23-11-20).dat, path: dats/PHILIPS_CDI/Philips - CD-i - Datfile (845) (2021-04-17 23-11-20).dat, platform_id: PHILIPS_CDI
Apr 18 00:17:49.547 INFO NINTENDO_N3DS: dats/NINTENDO_N3DS/Nintendo - New Nintendo 3DS (Decrypted) (20210101-002056).dat, path: dats/NINTENDO_N3DS/Nintendo - New Nintendo 3DS (Decrypted) (20210101-002056).dat, platform_id: NINTENDO_N3DS
Apr 18 00:17:49.548 INFO NINTENDO_N3DS: dats/NINTENDO_N3DS/Nintendo - New Nintendo 3DS (Encrypted) (20210101-002056).dat, path: dats/NINTENDO_N3DS/Nintendo - New Nintendo 3DS (Encrypted) (20210101-002056).dat, platform_id: NINTENDO_N3DS
Apr 18 00:17:49.578 INFO MICROSOFT_XBOX: dats/MICROSOFT_XBOX/Microsoft - Xbox - Datfile (2474) (2021-04-11 09-42-08).dat, path: dats/MICROSOFT_XBOX/Microsoft - Xbox - Datfile (2474) (2021-04-11 09-42-08).dat, platform_id: MICROSOFT_XBOX
