Aug 23 01:44:51.695 INFO SEGA_SG1000: dats/SEGA_SG1000/Sega Game 1000 - Demos (TOSEC-v2011-08-13_CM).dat, path: dats/SEGA_SG1000/Sega Game 1000 - Demos (TOSEC-v2011-08-13_CM).dat, platform_id: SEGA_SG1000
Aug 23 01:44:51.695 INFO SEGA_SG1000: dats/SEGA_SG1000/Sega Game 1000 - Applications (TOSEC-v2011-12-19_CM).dat, path: dats/SEGA_SG1000/Sega Game 1000 - Applications (TOSEC-v2011-12-19_CM).dat, platform_id: SEGA_SG1000
Aug 23 01:44:51.698 INFO SEGA_SG1000: dats/SEGA_SG1000/Sega - SG-1000 (20200217-185318).dat, path: dats/SEGA_SG1000/Sega - SG-1000 (20200217-185318).dat, platform_id: SEGA_SG1000
Aug 23 01:44:51.713 INFO SEGA_SG1000: dats/SEGA_SG1000/Sega Game 1000 - Games (TOSEC-v2017-09-03_CM).dat, path: dats/SEGA_SG1000/Sega Game 1000 - Games (TOSEC-v2017-09-03_CM).dat, platform_id: SEGA_SG1000
Aug 23 01:44:51.728 INFO NINTENDO_3DS: dats/NINTENDO_3DS/Nintendo - Nintendo 3DS (Digital) (20200726-085508).dat, path: dats/NINTENDO_3DS/Nintendo - Nintendo 3DS (Digital) (20200726-085508).dat, platform_id: NINTENDO_3DS
Aug 23 01:44:51.782 INFO NINTENDO_3DS: dats/NINTENDO_3DS/Nintendo - Nintendo 3DS (Digital) (Updates and DLC) (Encrypted) (20200728-070505).dat, path: dats/NINTENDO_3DS/Nintendo - Nintendo 3DS (Digital) (Updates and DLC) (Encrypted) (20200728-070505).dat, platform_id: NINTENDO_3DS
Aug 23 01:44:51.834 INFO NINTENDO_3DS: dats/NINTENDO_3DS/Nintendo - Nintendo 3DS (Digital) (Updates and DLC) (Decrypted) (20200728-070505).dat, path: dats/NINTENDO_3DS/Nintendo - Nintendo 3DS (Digital) (Updates and DLC) (Decrypted) (20200728-070505).dat, platform_id: NINTENDO_3DS
Aug 23 01:44:51.836 INFO NINTENDO_3DS: dats/NINTENDO_3DS/Nintendo - Nintendo 3DS (Digital) (CDN) (CIA) (20200706-035548).dat, path: dats/NINTENDO_3DS/Nintendo - Nintendo 3DS (Digital) (CDN) (CIA) (20200706-035548).dat, platform_id: NINTENDO_3DS
Aug 23 01:44:51.853 INFO NINTENDO_3DS: dats/NINTENDO_3DS/Nintendo - Nintendo 3DS (Encrypted) (20200821-224831).dat, path: dats/NINTENDO_3DS/Nintendo - Nintendo 3DS (Encrypted) (20200821-224831).dat, platform_id: NINTENDO_3DS
Aug 23 01:44:51.939 INFO NINTENDO_3DS: dats/NINTENDO_3DS/Nintendo - Nintendo 3DS (Decrypted) (20200821-224831).dat, path: dats/NINTENDO_3DS/Nintendo - Nintendo 3DS (Decrypted) (20200821-224831).dat, platform_id: NINTENDO_3DS
Aug 23 01:44:52.008 INFO SONY_PSX: dats/SONY_PSX/Sony PlayStation - Games - [ISO] (TOSEC-v2012-09-08_CM).dat, path: dats/SONY_PSX/Sony PlayStation - Games - [ISO] (TOSEC-v2012-09-08_CM).dat, platform_id: SONY_PSX
Aug 23 01:44:52.008 INFO SONY_PSX: dats/SONY_PSX/Sony PlayStation - Games - [EXE] (TOSEC-v2012-09-08_CM).dat, path: dats/SONY_PSX/Sony PlayStation - Games - [EXE] (TOSEC-v2012-09-08_CM).dat, platform_id: SONY_PSX
Aug 23 01:44:52.009 INFO SONY_PSX: dats/SONY_PSX/Sony PlayStation - Demos - [EXE] (TOSEC-v2012-09-08_CM).dat, path: dats/SONY_PSX/Sony PlayStation - Demos - [EXE] (TOSEC-v2012-09-08_CM).dat, platform_id: SONY_PSX
Aug 23 01:44:52.010 INFO SONY_PSX: dats/SONY_PSX/Sony PlayStation - Games - [IMG] (TOSEC-v2012-09-08_CM).dat, path: dats/SONY_PSX/Sony PlayStation - Games - [IMG] (TOSEC-v2012-09-08_CM).dat, platform_id: SONY_PSX
Aug 23 01:44:52.011 INFO SONY_PSX: dats/SONY_PSX/Sony PlayStation - Demos - [ISO] (TOSEC-v2012-09-08_CM).dat, path: dats/SONY_PSX/Sony PlayStation - Demos - [ISO] (TOSEC-v2012-09-08_CM).dat, platform_id: SONY_PSX
Aug 23 01:44:52.012 INFO SONY_PSX: dats/SONY_PSX/Sony PlayStation - Games - [BIN] (TOSEC-v2012-09-08_CM).dat, path: dats/SONY_PSX/Sony PlayStation - Games - [BIN] (TOSEC-v2012-09-08_CM).dat, platform_id: SONY_PSX
Aug 23 01:44:52.428 INFO SONY_PSX: dats/SONY_PSX/Sony - PlayStation - Datfile (10376) (2020-08-23 02-56-01).dat, path: dats/SONY_PSX/Sony - PlayStation - Datfile (10376) (2020-08-23 02-56-01).dat, platform_id: SONY_PSX
Aug 23 01:44:53.201 INFO SONY_PSX: dats/SONY_PSX/Sony PlayStation - Demos - [BIN] (TOSEC-v2012-09-08_CM).dat, path: dats/SONY_PSX/Sony PlayStation - Demos - [BIN] (TOSEC-v2012-09-08_CM).dat, platform_id: SONY_PSX
Aug 23 01:44:53.202 INFO SONY_PSX: dats/SONY_PSX/Sony PlayStation - Applications (TOSEC-v2014-10-30_CM).dat, path: dats/SONY_PSX/Sony PlayStation - Applications (TOSEC-v2014-10-30_CM).dat, platform_id: SONY_PSX
Aug 23 01:44:53.202 INFO SONY_PSX: dats/SONY_PSX/Sony PlayStation - Samplers - [ISO] (TOSEC-v2012-09-08_CM).dat, path: dats/SONY_PSX/Sony PlayStation - Samplers - [ISO] (TOSEC-v2012-09-08_CM).dat, platform_id: SONY_PSX
Aug 23 01:44:53.203 INFO SONY_PSX: dats/SONY_PSX/Sony PlayStation - Firmware (TOSEC-v2012-09-08_CM).dat, path: dats/SONY_PSX/Sony PlayStation - Firmware (TOSEC-v2012-09-08_CM).dat, platform_id: SONY_PSX
